CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Michael R. McMullen,Agilent Technologies Inc.,"Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow.",New York Stock Exchange,Medical Diagnostics & Research,cs,Healthcare,A,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.agilent.com
Roy Christopher Harvey,Alcoa Corporation,Alcoa Corp is an integrated aluminum company. The company engages in aluminum production from bauxite mining to manufactures finished aluminum goods. It serves finished aluminum goods to a wide-variety of industrial end markets.,New York Stock Exchange,Metals & Mining,cs,Basic Materials,AA,"['Basic Materials', 'Aluminum', 'Metals & Mining']",http://www.alcoa.com
Thomas J. Mcinerney,Altaba Inc.,"Altaba Inc is an independent, non-diversified, closed-end management investment company. The Fund's objective is to seek to increase the price per share at which it trades relative to then-current values of its principal underlying assets, and others.",Nasdaq Global Select,Asset Management,cs,Financial Services,AABA,"['Financial Services', 'Asset Management']",http://www.altaba.com
Michael T. Cartwright,AAC Holdings Inc.,AAC Holdings Inc provides inpatient and outpatient substance abuse treatment services for individuals with drug and alcohol addiction. The company also performs drug testing and diagnostics laboratory services and provides physician services.,New York Stock Exchange,Health Care Providers,cs,Healthcare,AAC,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.americanaddictioncenters.org
W. Douglas Parker,American Airlines Group Inc.,"American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C.",Nasdaq Global Select,Airlines,cs,Industrials,AAL,"['Industrials', 'Airlines']",http://www.aa.com
George G. Ellison,Altisource Asset Management Corp Com,Altisource Asset Management Corp is an asset management company that provides portfolio management and corporate governance services. It provides management services to its Altisource Residential Corporation and NewSource Reinsurance Company Ltd.,NYSE American,Asset Management,cs,Financial Services,AAMC,"['Financial Services', 'Asset Management']",http://www.altisourceamc.com
Hilton H. Howell,Atlantic American Corporation,Atlantic American Corp provides property and casualty insurance and a variety of life and supplemental health products. It operates its business through its subsidiaries.,NASDAQ Global Market,Insurance - Life,cs,Financial Services,AAME,"['Financial Services', 'Insurance - Life']",http://www.atlam.com
John W. Robinson,Aaron's Inc.,"Aaron's Inc is a retailer of furniture, consumer electronics, computers, appliances and household accessories. It also offers lease-purchase solutions to customers of traditional retailers and revolving credit products.",New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,AAN,"['Industrials', 'Rental & Leasing Services', 'Consulting & Outsourcing']",http://www.aarons.com
Chih-Hsiang Thompson Lin,Applied Optoelectronics Inc.,"Applied Optoelectronics Inc is a vertically integrated provider of fiber-optic networking products,for four networking end-markets: internet data center, cable television, or CATV, telecommunications, or telecom, fiber-to-the-home, or FTTH.",NASDAQ Global Market,Semiconductors,cs,Technology,AAOI,"['Technology', 'Semiconductors']",http://www.ao-inc.com
Norman H. Asbjornson,AAON Inc.,"AAON Inc is a heating, ventilation and air conditioning equipment manufacturer. Its products include rooftop units, chillers, air-handling units, make-up air units, heat recovery units, condensing units and coils.",Nasdaq Global Select,Building Materials,cs,Basic Materials,AAON,"['Basic Materials', 'Building Materials']",http://www.aaon.com
